heroId,chain
1000000000215,dfkchain
1000000000250,dfkchain
1000000000384,dfkchain
1000000000604,dfkchain
1000000000627,dfkchain
1000000000670,dfkchain
1000000000704,dfkchain
1000000000788,dfkchain
1000000000794,dfkchain
1000000001173,dfkchain
1000000001290,dfkchain
1000000001301,kaia
1000000001302,dfkchain
1000000001304,dfkchain
1000000001307,dfkchain
1000000001335,dfkchain
1000000001398,kaia
1000000001413,dfkchain
1000000001432,dfkchain
1000000001451,dfkchain
1000000001459,dfkchain
1000000001528,kaia
1000000001556,dfkchain
1000000001635,dfkchain
1000000001776,dfkchain
1000000001806,dfkchain
1000000001851,dfkchain
1000000001887,dfkchain
1000000001902,kaia
1000000001904,dfkchain
1000000001905,dfkchain
1000000002079,dfkchain
1000000002091,dfkchain
1000000002095,dfkchain
1000000002102,dfkchain
1000000002114,dfkchain
1000000002143,dfkchain
1000000002157,dfkchain
1000000002165,dfkchain
1000000002169,dfkchain
1000000002205,dfkchain
1000000002236,dfkchain
1000000002273,dfkchain
1000000002293,dfkchain
1000000002295,dfkchain
1000000002351,dfkchain
1000000002400,dfkchain
1000000002413,dfkchain
1000000002430,dfkchain
1000000002435,kaia
1000000002449,dfkchain
1000000002467,kaia
1000000002474,dfkchain
1000000002486,dfkchain
1000000002538,dfkchain
1000000002560,kaia
1000000002601,dfkchain
1000000002603,dfkchain
1000000002617,dfkchain
1000000002619,dfkchain
1000000002678,dfkchain
1000000002697,kaia
1000000002702,dfkchain
1000000002760,dfkchain
1000000002829,dfkchain
1000000002878,dfkchain
1000000002930,dfkchain
1000000002970,dfkchain
1000000002985,dfkchain
1000000002990,dfkchain
1000000003053,dfkchain
1000000003079,dfkchain
1000000003084,dfkchain
1000000003096,dfkchain
1000000003233,dfkchain
1000000003253,dfkchain
1000000003265,dfkchain
1000000003276,dfkchain
1000000003314,dfkchain
1000000003316,dfkchain
1000000003337,dfkchain
1000000003362,dfkchain
1000000003392,dfkchain
1000000003402,dfkchain
1000000003442,kaia
1000000003450,dfkchain
1000000003461,dfkchain
1000000003495,dfkchain
1000000003579,dfkchain
1000000003608,dfkchain
1000000003650,dfkchain
1000000003653,dfkchain
1000000003663,dfkchain
1000000003674,dfkchain
1000000003690,dfkchain
1000000003694,kaia
1000000003711,dfkchain
1000000003722,dfkchain
1000000003728,kaia
1000000003734,dfkchain
1000000003740,dfkchain
1000000003751,dfkchain
1000000003770,dfkchain
1000000003777,dfkchain
1000000003791,dfkchain
1000000003792,dfkchain
1000000003807,dfkchain
1000000003812,dfkchain
1000000003815,dfkchain
1000000003821,dfkchain
1000000003829,kaia
1000000003848,dfkchain
1000000003900,dfkchain
1000000003962,kaia
1000000003967,dfkchain
1000000003979,dfkchain
1000000003994,dfkchain
1000000004006,dfkchain
1000000004032,dfkchain
1000000004036,dfkchain
1000000004046,dfkchain
1000000004058,dfkchain
1000000004059,kaia
1000000004061,dfkchain
1000000004065,dfkchain
1000000004070,dfkchain
1000000004100,dfkchain
1000000004101,dfkchain
1000000004127,dfkchain
1000000004155,dfkchain
1000000004156,dfkchain
1000000004189,dfkchain
1000000004192,dfkchain
1000000004198,dfkchain
1000000004209,dfkchain
1000000004216,dfkchain
1000000004248,dfkchain
1000000004263,dfkchain
1000000004326,dfkchain
1000000004412,dfkchain
1000000004536,dfkchain
1000000004583,kaia
1000000004631,dfkchain
1000000004634,kaia
1000000004671,dfkchain
1000000004817,dfkchain
1000000004827,dfkchain
1000000004830,dfkchain
1000000004845,dfkchain
1000000004880,dfkchain
1000000004907,dfkchain
1000000004942,kaia
1000000005016,dfkchain
1000000005026,dfkchain
1000000005035,dfkchain
1000000005038,dfkchain
1000000005092,dfkchain
1000000005127,dfkchain
1000000005146,dfkchain
1000000005152,dfkchain
1000000005187,dfkchain
1000000005207,dfkchain
1000000005234,dfkchain
1000000005336,dfkchain
1000000005352,dfkchain
1000000005368,dfkchain
1000000005372,dfkchain
1000000005411,dfkchain
1000000005424,kaia
1000000005435,kaia
1000000005441,dfkchain
1000000005448,dfkchain
1000000005488,dfkchain
1000000005502,dfkchain
1000000005542,dfkchain
1000000005582,dfkchain
1000000005583,dfkchain
1000000005595,dfkchain
1000000005611,kaia
1000000005636,kaia
1000000005710,dfkchain
1000000005715,dfkchain
1000000005756,dfkchain
1000000005820,kaia
1000000005822,dfkchain
1000000005824,dfkchain
1000000005888,dfkchain
1000000005983,dfkchain
1000000006020,dfkchain
1000000006055,dfkchain
1000000006090,dfkchain
1000000006096,dfkchain
1000000006114,dfkchain
1000000006121,dfkchain
1000000006242,dfkchain
1000000006458,dfkchain
1000000006474,dfkchain
1000000006486,kaia
1000000006524,dfkchain
1000000006531,dfkchain
1000000006536,dfkchain
1000000006562,dfkchain
1000000006600,dfkchain
1000000006617,dfkchain
1000000006626,dfkchain
1000000006632,dfkchain
1000000006734,kaia
1000000006737,dfkchain
1000000006744,dfkchain
1000000006765,dfkchain
1000000006794,dfkchain
1000000006797,dfkchain
1000000006843,dfkchain
1000000006918,dfkchain
1000000006927,dfkchain
1000000006979,dfkchain
1000000007004,dfkchain
1000000007018,dfkchain
1000000007034,dfkchain
1000000007048,dfkchain
1000000007125,dfkchain
1000000007144,dfkchain
1000000007155,dfkchain
1000000007332,dfkchain
1000000007377,dfkchain
1000000007406,dfkchain
1000000007450,dfkchain
1000000007526,dfkchain
1000000007591,dfkchain
1000000007663,kaia
1000000007728,dfkchain
1000000007797,dfkchain
1000000007828,kaia
1000000007883,dfkchain
1000000007921,dfkchain
1000000007939,dfkchain
1000000007946,dfkchain
1000000007953,dfkchain
1000000007999,dfkchain
1000000008005,kaia
